controller_family,yaw_mode,episodes,survival_rate,crash_rate,tracking_rmse_mean_m,tracking_mae_mean_m,tracking_p95_mean_m,tracking_peak_max_m,tracking_x_mae_mean_m,tracking_y_mae_mean_m,heading_err_mae_mean_deg,heading_err_max_max_deg,control_energy_mean,worst_pitch_deg,worst_roll_deg,worst_base_x_m,worst_base_y_m,trajectory_score
baseline_mpc,off,1,1.0,0.0,0.00020491419039484916,0.0001887596503687429,0.00030004721112222166,0.00031424073495376346,6.468794915424287e-05,0.000172473419842649,nan,nan,0.0019800858866713318,2.811154850907516,1.057032966442182,0.00012275813426069096,0.00030441055380253554,99.90949397527528
baseline_mpc,bearing_pd,1,1.0,0.0,0.00020900284807445947,0.0001926331889652608,0.0003059747259587227,0.00032164065936377586,6.569898382879836e-05,0.00017659174546574163,0.0,0.0,0.0021975239528820383,2.811154850892641,1.057032968112085,0.00012406304974560913,0.00030910037546582833,99.90762715164136
current,off,1,1.0,0.0,0.021788193378536536,0.019592702430301402,0.03412717222760895,0.036231258228300006,0.0018870646476429813,0.019416930745677352,nan,nan,2096.778188227121,2.510688096852929,1.060339143633594,0.004420406489737686,0.036199133929791884,48.11237684384359
current,bearing_pd,1,1.0,0.0,0.027951419856907442,0.024992055972000368,0.04279594765791795,0.04510730849435032,0.001499110324981677,0.024842057162103207,124.08894595822733,178.3660216691338,2096.75036633439,2.510688096852929,1.060338609796814,0.0038568252201738023,0.04509782745985007,-53.81908263875015
